kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
11,D.I. ATJEH,1,D.I ATJEH,1,DAERAH ISTIMEWA ACEH,11,DAERAH ISTIMEWA ACEH,11,DI ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH
10,SUMATRA UTARA,2,SUMATRA UTARA,2,SUMATERA UTARA,12,SUMATRA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA
9,SUMATERA BARAT,3,SUMATRA BARAT,3,SUMATERA BARAT,13,SUMATRA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT
8,RIAU,4,RIAU,4,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU
7,DJAMBI,5,DJAMBI,5,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI
6,SUMATERA SELATAN,6,SUMATRA SELATAN,6,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN
6,SUMATERA SELATAN,7,BENGKULU,7,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU
6,SUMATERA SELATAN,8,LAMPUNG,8,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG
6,SUMATERA SELATAN,6,SUMATRA SELATAN,6,SUMATERA SELATAN,16,SUMATERA SELATAN,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG
8,RIAU,4,RIAU,4,RIAU,14,RIAU,14,RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU
1,D.C.I. DJAKARTA RAYA,9,D.C.I. DJAKARTA,9,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA,31,DKI JAKARTA
2,DJAWA BARAT,10,DJAWA BARAT,10,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT
3,DJAWA TENGAH,11,DJAWA TENGAH,11,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH
4,D.I. JOGJAKARTA,12,D.I. JOGJAKARTA,12,DI YOGYAKARTA,34,DI YOGYAKARTA,34,D I YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA
5,DJAWA TIMUR,13,DJAWA TIMUR,13,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR
2,DJAWA BARAT,10,DJAWA BARAT,10,JAWA BARAT,32,JAWA BARAT,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN
18,BALI,14,BALI,14,BALI,51,BALI,51,B A L I,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI
19,NUSATENGGARA BARAT,15,NUSA TENGGARA BARAT,15,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT
20,NUSATENGGARA TIMUR,16,NUSA TENGGARA TIMUR,16,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR
12,KALIMANTAN BARAT,17,KALIMANTAN BARAT,17,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT
13,KALIMANTAN TENGAH,18,KALIMANTAN TENGAH,18,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH
14,KALIMANTAN SELATAN,19,KALIMANTAN SELATAN,19,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN
15,KALIMANTAN TIMUR,20,KALIMANTAN TIMUR,20,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR
15,KALIMANTAN TIMUR,20,KALIMANTAN TIMUR,20,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA
16,SULAWESI UTARA,21,SULAWESI UTARA,21,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA,71,SULAWESI UTARA
16,SULAWESI UTARA,22,SULAWESI TENGAH,22,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH,72,SULAWESI TENGAH
17,SULAWESI SELATAN,23,SULAWESI SELATAN,23,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN
17,SULAWESI SELATAN,24,SULAWESI TENGGARA,24,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA
16,SULAWESI UTARA,21,SULAWESI UTARA,21,SULAWESI UTARA,71,SULAWESI UTARA,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO,75,GORONTALO
17,SULAWESI SELATAN,23,SULAWESI SELATAN,23,SULAWESI SELATAN,73,SULAWESI SELATAN,73,SULAWESI SELATAN,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT,76,SULAWESI BARAT
21,MALUKU,25,MALUKU,25,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU,81,MALUKU
21,MALUKU,25,MALUKU,25,MALUKU,81,MALUKU,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA,82,MALUKU UTARA
22,IRIAN BARAT,26,IRIAN BARAT,26,IRIAN JAYA,82,IRIAN JAYA,91,IRIAN JAYA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT,91,PAPUA BARAT
22,IRIAN BARAT,26,IRIAN BARAT,26,IRIAN JAYA,82,IRIAN JAYA,92,IRIAN JAYA TENGAH,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA
22,IRIAN BARAT,26,IRIAN BARAT,26,IRIAN JAYA,82,IRIAN JAYA,93,IRIAN JAYA TIMUR,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA,94,PAPUA
